"x","y","elevasi"
473580.504217579,9569880.52822892,36.8783760070801
438593.441897618,9527883.75685186,75.9258575439453
432180.808442962,9548242.55563453,54.4142112731934
453786.06701234,9545451.63095441,55.8955726623535
482136.219837133,9553425.70146904,36.068977355957
461054.272028951,9556947.582613,65.8507919311523
438311.020216972,9552370.79839054,53.896671295166
466877.142562259,9586966.6355712,24.6395397186279
472276.380574599,9542851.7517137,63.5304679870606
435918.742451504,9533307.7860665,87.8737106323242
467441.98592355,9580064.08078198,24.8412208557129
481812.265556393,9586941.71660085,16.1954326629639
452382.265129131,9556482.42849965,41.2817306518555
442472.586746483,9538781.65322186,72.5033569335938
484869.064923379,9554688.26263386,34.090950012207
472209.928414447,9584782.07250313,36.2689361572266
449632.807002848,9535633.55663327,63.1520843505859
440105.228541073,9533797.85915022,61.4697570800781
468463.687885885,9579864.72901911,26.4504814147949
416365.194326815,9525067.91320139,109.673118591309
431192.332560702,9548151.18607655,57.567253112793
446384.957675425,9529927.11242124,65.2271194458008
423990.579704243,9509211.14173011,196.206207275391
424048.725344376,9530691.29417889,101.760757446289
419338.928493612,9507915.35527148,109.928466796875
424879.377346274,9506777.38895845,262.447723388672
423342.671142762,9517168.59959783,86.093017578125
430585.956599317,9534595.26620168,85.7284088134766
452498.556409397,9541281.85658113,56.9651870727539
445629.064353697,9565079.47327323,41.0320816040039
473871.232418244,9559148.75832798,35.7388877868652
450671.122005221,9569656.25749569,40.8906669616699
459932.891826388,9584466.43221193,25.4940757751465
432297.099723227,9535276.3847248,82.328369140625
452872.349810252,9556291.38306024,46.9936065673828
444623.9754314,9526056.36569226,68.8992385864258
473181.791256668,9554729.79425112,35.7850112915039
466910.368642335,9563085.95564458,64.8545532226562
446999.64015683,9532967.22680494,63.3881340026855
434290.664527784,9548242.55563453,53.2873954772949
467018.353402582,9568659.49868137,39.7205848693848
444873.17103197,9537909.48925932,96.1569747924805
467948.683644708,9584059.42236274,36.0255355834961
426474.229189919,9527393.68376815,88.3654403686523
435005.025249416,9557014.03320062,38.4862976074219
457017.303299725,9551689.67986742,52.5430068969727
478340.140188458,9562022.74624262,32.0727882385254
482368.802397665,9552520.31221269,40.8700790405273
472600.334855339,9589259.18084416,39.6505241394043
414205.499121879,9518663.73781933,150.215103149414
458379.572582838,9538997.61763163,53.2653656005859
429879.902397703,9517384.5640076,114.338905334473
428210.291873887,9520624.03015417,85.516845703125
433925.177646948,9545825.41550978,56.3804664611816
424522.196985458,9520034.28118903,93.6295928955078
412386.371237722,9516927.7162177,147.907989501953
437721.257295624,9537294.82132382,74.9570007324219
442115.406385667,9561366.54668986,43.3331832885742
460157.167866901,9574806.17803639,32.7423324584961
428617.311354817,9522384.97072615,84.087028503418
461153.950269179,9562022.74624262,48.2428741455078
438477.150617352,9533598.50738735,67.8662567138672
420352.323935928,9515083.71241119,90.1858825683594
469460.470288163,9572239.5240895,40.4858436584473
423483.881983085,9513580.26786625,127.225715637207
425685.109788116,9507076.41660275,253.273223876953
472525.576175169,9562678.94579539,53.0104751586914
444358.166790793,9547453.45490652,53.7529754638672
471520.487252871,9558675.29789117,36.9748039245606
458587.235583313,9548649.56548372,56.3313903808594
471811.215453536,9589549.90216501,22.6581764221191
435212.688249891,9541888.21819318,72.6663970947266
475798.345062648,9567870.39795336,39.1526298522949
447738.920438519,9530807.58270723,62.9541664123535
471238.065572226,9543765.4472935,64.9694213867188
424804.618666103,9545725.73962835,66.5701141357422
473705.102017864,9580570.7665126,35.6146507263184
422254.517020275,9534387.60811536,98.6839447021485
442970.977947622,9541049.27952446,63.4017105102539
441417.658704072,9553666.58484917,48.6664962768555
450770.800245448,9533249.64180234,60.6459846496582
452423.797729226,9575819.54949762,33.7389602661133
478572.722748989,9554123.43263907,50.3088684082031
465473.340679051,9561682.18698106,58.9764175415039
475640.521182288,9556042.19335665,34.2753448486328
413491.138400247,9514626.86462129,101.013259887695
434996.718729397,9524536.30850041,88.1477737426758
473646.956377731,9586941.71660085,37.5109367370606
455322.773215852,9567953.46118788,39.0275268554688
472525.576175169,9587946.78173863,24.3495655059814
459899.665746312,9547843.8521088,52.7839431762695
435054.86436953,9557163.54702277,37.6776466369629
461452.984989862,9578369.59079762,30.5895843505859
462865.09339309,9588445.16114579,28.6184101104736
451277.497966606,9549571.56738697,59.2023773193359
469701.359368714,9575113.51200414,28.7110786437988
429356.591636507,9541954.66878081,76.3138122558594
417744.076649967,9515100.3250581,99.8921127319336
433642.755966303,9535276.3847248,103.741539001465
464194.136596127,9547237.49049675,47.0824813842773
454816.075494694,9570212.78116703,33.6801872253418
453462.112731599,9548151.18607655,65.8116455078125
420161.273975491,9505680.95426269,124.320686340332
431906.693282335,9543624.23979481,69.5689926147461
476188.751503541,9576525.58699111,32.1513671875
